Audi,A4,2009,9200.0
Honda,Accord,1997,2600.0
Volvo,S60,2001,5500.0
Volkswagen,Passat,2008,7800.0
Audi,A6,1999,5200.0
Mazda,6,2010,10300.0
Fiat,Brava,1997,1300.0
Peugeot,Partner,2004,3900.0
Peugeot,307,2004,2000.0
BMW,520,1992,1400.0
Mitsubishi,Montero,2001,6300.0
Opel,Astra,1994,600.0
Mazda,626,2001,2500.0
Citroen,C4 AirCross,2012,14000.0
Opel,Rekord,1985,650.0
Ford,Galaxy,1998,3000.0
Volkswagen,T4,2000,6400.0
Peugeot,406,1999,2850.0
Chrysler,Pacifica,2007,9000.0
Peugeot,508,2016,14600.0
Volkswagen,Passat,2006,7200.0
Volvo,S40,2010,7500.0
Ford,Focus,1999,1950.0
Infiniti,FX,2008,14250.0
Opel,Meriva,2006,3150.0
Ford,Focus,2012,7587.97
Mazda,626,1987,600.0
Volkswagen,Golf,1994,2200.0
Rover,400-Series,1998,750.0
Fiat,Marea,1997,1350.0
Kia,Magentis,2008,6200.0
Nissan,Primera,1995,500.0
Audi,A6,1999,5100.0
Skoda,Octavia,2016,12450.0
ВАЗ,2103,1975,2100.0
Audi,A4,2019,33310.4
Skoda,Roomster,2009,6050.0
Volkswagen,Polo,2005,4200.0
Toyota,Auris,2008,6500.0
Audi,100,1988,1422.74
Peugeot,206,2009,4999.0
Mitsubishi,Lancer,2008,7000.0
LADA,XRAY,2019,12928.0
Opel,Vectra,1997,1800.0
Volkswagen,Touran,2015,17200.0
Fiat,Marea,1997,700.0
Chevrolet,Lumina,1990,1000.0
Volkswagen,Passat,1999,3650.0
Hyundai,ix35,2011,12000.0
Ford,S-Max,2006,7500.0
